Uid,50m,100m,300m,500m,700m,900m
0,0.937033733,0.86839221,0.645880819,0.481478523,0.379430849,0.296815411
1,0.958968794,0.922606124,0.809831639,0.715146599,0.635594409,0.562028007
2,0.940803852,0.889580548,0.742627874,0.627852595,0.523457547,0.432935189
3,0.909471551,0.813811503,0.556364237,0.398727222,0.312575713,0.248251863
4,0.913141757,0.827665425,0.596299667,0.447305652,0.354242206,0.283862512
5,0.962955209,0.925174835,0.79762477,0.685918925,0.583839779,0.482785255
6,0.960863145,0.915070454,0.772493533,0.665073235,0.572932244,0.484461805
7,0.953045735,0.898548151,0.698006663,0.5384483,0.414214201,0.317743952
8,0.958961738,0.925151799,0.819587906,0.727035982,0.645604413,0.568220132
9,0.969245903,0.939120982,0.841119378,0.755967292,0.676572706,0.596894031
10,0.906515342,0.817014493,0.576728222,0.412955485,0.29599889,0.203180451
11,0.951161485,0.909145807,0.781775868,0.673128605,0.576530995,0.483845338
12,0.948712265,0.892784213,0.710557778,0.56340604,0.440685276,0.341090958
13,0.951976513,0.906178971,0.762463559,0.639913248,0.530770451,0.436694964
14,0.897182005,0.815555511,0.587075275,0.435764051,0.336013989,0.262004279
15,0.947834265,0.893335191,0.70700615,0.554467723,0.437535845,0.344520701
16,0.951444622,0.908848513,0.783908156,0.692234679,0.617417961,0.556862809
17,0.82943078,0.708590949,0.455567368,0.31341284,0.212201369,0.144130897
18,0.930459696,0.860926115,0.681914649,0.555621621,0.45247268,0.352994488
19,0.939502913,0.883107066,0.723708176,0.596226437,0.489969028,0.392489038
20,0.968719078,0.93751796,0.837647643,0.756618614,0.688548308,0.621687479
22,0.935693339,0.856646387,0.621801795,0.463807955,0.351246982,0.263107696
23,0.969794491,0.936818264,0.81971284,0.720870546,0.63340021,0.544731372
24,0.906450213,0.790665105,0.458378129,0.280517857,0.19214881,0.133207104
25,0.917091068,0.840410253,0.62562125,0.477593465,0.377581861,0.299981504
26,0.945806176,0.895122681,0.745467702,0.623054699,0.527623592,0.443723411
27,0.970963119,0.941089493,0.841441971,0.756936623,0.680097979,0.600785402
28,0.951427463,0.900559038,0.749310164,0.6343594,0.543848046,0.468044635
29,0.955103808,0.912666647,0.780636116,0.672231813,0.564126974,0.458363066
30,0.911569424,0.837387083,0.613839743,0.464930368,0.367718063,0.286789085
31,0.965366276,0.929179066,0.809758124,0.711663512,0.626357868,0.547970892
32,0.969788711,0.935233015,0.813438256,0.713035378,0.61495635,0.526471633
33,0.943993018,0.886367369,0.702903022,0.564778612,0.455720511,0.373791697
34,0.900310634,0.811460523,0.559125819,0.415706993,0.313757706,0.235874644
35,0.966442242,0.934433363,0.834590063,0.749693458,0.674568316,0.598982102
36,0.933260596,0.867770924,0.678694683,0.534168506,0.423489004,0.330015143
37,0.883790218,0.782391454,0.54471358,0.378208804,0.253436167,0.17239941
38,0.937924814,0.878219723,0.689013816,0.557320789,0.462281188,0.380733217
39,0.928139278,0.835877893,0.540478493,0.388482265,0.296506647,0.217959415
40,0.962926981,0.920677559,0.796252186,0.697970446,0.609967407,0.526682146
41,0.783810315,0.616552185,0.256714547,0.118471321,0.074247229,0.058907473
42,0.921105474,0.844142642,0.59334632,0.399609395,0.268092516,0.17289394
43,0.939988475,0.874606328,0.673887395,0.516134083,0.394067085,0.291289326
44,0.960890764,0.922570788,0.802553697,0.712590867,0.637177909,0.574460547
45,0.966102981,0.931014829,0.811573379,0.709378945,0.617941839,0.524449931
46,0.965490314,0.929168319,0.816342965,0.723059155,0.639256329,0.558945984
47,0.973980646,0.946337122,0.853969187,0.775459506,0.703778674,0.631706413
48,0.973201089,0.941824253,0.840351742,0.754260668,0.677540219,0.603601747
50,0.918783949,0.84640151,0.659592237,0.538324426,0.442493331,0.354603761
51,0.960761568,0.916890706,0.772138579,0.653164446,0.547678896,0.45005418
52,0.943733775,0.889768564,0.702668648,0.554939946,0.435290012,0.327521685
53,0.973814209,0.946039824,0.854209456,0.776821539,0.707224793,0.635849243
54,0.97153767,0.941336303,0.836430119,0.745597749,0.659051177,0.568495504
55,0.972993899,0.944514724,0.846106018,0.757347491,0.67663697,0.603563403
56,0.969000913,0.935313032,0.829161867,0.744920095,0.67381905,0.606780149
57,0.968975419,0.934380549,0.815115367,0.710613889,0.608647612,0.509366461
58,0.966920422,0.931155218,0.799219038,0.684221562,0.588663968,0.511192762
59,0.968466158,0.936470814,0.831312698,0.744570163,0.672829163,0.605790436
61,0.972248614,0.943042196,0.845176195,0.759244731,0.680204928,0.594663978
62,0.901207768,0.814359556,0.559451136,0.396595913,0.279843493,0.201118447
63,0.972499446,0.94166326,0.837108445,0.746172957,0.658582773,0.57158615
64,0.963207896,0.926299168,0.809358882,0.714586112,0.633119464,0.554671039
65,0.951320628,0.907559187,0.763243232,0.647205644,0.543292928,0.444798314
66,0.949383011,0.891794424,0.688360993,0.517225254,0.378377774,0.275698373
67,0.932009611,0.86653882,0.663939643,0.51179007,0.406626208,0.32053985
68,0.884558726,0.783945824,0.544577044,0.405221352,0.320758302,0.250557691
69,0.968648922,0.936768543,0.830993137,0.741689764,0.653962563,0.566584487
70,0.967101716,0.931924432,0.814013136,0.712351973,0.620214633,0.533934672
71,0.960411282,0.919581674,0.789850432,0.680865317,0.586126134,0.499156258
72,0.973888948,0.945685935,0.852032345,0.773204271,0.703418888,0.629089634
73,0.966288638,0.928671488,0.778959718,0.626612067,0.489768385,0.381006329
74,0.96126624,0.920639244,0.784875399,0.670959073,0.579872956,0.492887275
75,0.973064541,0.944813639,0.848296755,0.76300601,0.685886526,0.614962782
76,0.970157825,0.933980607,0.801350999,0.682081119,0.582864506,0.489437131
77,0.970797193,0.939712939,0.837834475,0.751824539,0.671949051,0.595059261
78,0.956332124,0.909450207,0.754819994,0.625573104,0.518242664,0.425971619
79,0.963048989,0.921992692,0.780084823,0.682594178,0.5935204,0.506267469
80,0.971315673,0.938730065,0.826274082,0.738851553,0.661621659,0.584126414
81,0.951512797,0.904483883,0.762493271,0.658707688,0.571513451,0.488904839
82,0.951238062,0.899275949,0.738221797,0.616713863,0.530664757,0.457725449
83,0.964265247,0.927217765,0.804142912,0.695845295,0.59729309,0.514439539
84,0.907803536,0.812966887,0.573108679,0.420243973,0.316393374,0.239631541
85,0.916914571,0.83854784,0.630989338,0.502858453,0.428428168,0.367402293
86,0.972007056,0.939745296,0.815763377,0.695529367,0.588340403,0.475432969
87,0.974097212,0.946606396,0.855597093,0.778932608,0.709962884,0.637538391
88,0.962601518,0.929146572,0.82469776,0.730758458,0.646205381,0.556909053
89,0.957831286,0.911157422,0.757567324,0.639202018,0.548163044,0.470007053
90,0.973443878,0.943482832,0.838591228,0.742643819,0.656636476,0.57180792
91,0.968987603,0.935106201,0.815573996,0.706656116,0.601233487,0.523864017
92,0.955916689,0.907346815,0.742209624,0.600089763,0.47864513,0.378971645
93,0.971993763,0.942699543,0.845277064,0.761550648,0.684664445,0.606517952
94,0.968975419,0.934380549,0.815115367,0.710613889,0.608647612,0.509366461
95,0.968612447,0.935111849,0.821030715,0.730353249,0.649684915,0.567403649
96,0.96192033,0.926290578,0.814280258,0.723397906,0.646239816,0.57896803
97,0.973477362,0.945828947,0.854439317,0.777641125,0.708727572,0.641141085
98,0.972059417,0.940431421,0.839418464,0.753526,0.67413463,0.592409136
99,0.97330878,0.943306164,0.841158064,0.755283175,0.667775825,0.586282205
100,0.973163693,0.945308955,0.853904008,0.777422899,0.706684681,0.64093349
101,0.964950274,0.923815476,0.778944458,0.654648002,0.554232,0.454329143
102,0.970944279,0.94010303,0.836379102,0.74862241,0.672145445,0.597437757
103,0.961288807,0.925804812,0.814517437,0.717999706,0.633656326,0.552728086
104,0.952473761,0.90104922,0.743668115,0.618142292,0.509098507,0.42155946
105,0.970433613,0.933083323,0.798092012,0.690669267,0.597874068,0.511431322
106,0.968684858,0.929097731,0.7893757,0.663125906,0.559344215,0.458330747
107,0.973784616,0.946028333,0.854810798,0.778545504,0.709612349,0.639714864
108,0.973589846,0.944927985,0.846721432,0.746746854,0.658873078,0.562781389
109,0.971632053,0.940489749,0.835681559,0.744578995,0.662620295,0.578651856
110,0.966905158,0.929929183,0.797449078,0.679902172,0.568535641,0.477139256
111,0.970790102,0.932521329,0.799111183,0.696124887,0.609775528,0.52938313
112,0.955761498,0.909822909,0.759328784,0.633274997,0.520613583,0.421672995
113,0.969967654,0.939154495,0.839151662,0.753116339,0.677808422,0.607004241
114,0.962781826,0.922738368,0.799671657,0.716558612,0.647659056,0.582399202
115,0.934393888,0.8632016,0.640357821,0.50772582,0.404678108,0.317844156
119,0.974008286,0.945614594,0.840025555,0.752207419,0.673225219,0.596533379
121,0.960055658,0.920697962,0.803702368,0.707775954,0.626437886,0.55163193
122,0.974169972,0.946690304,0.855487942,0.77816122,0.707619589,0.636640822
124,0.947915647,0.894781679,0.738766315,0.628154416,0.539033337,0.445045638
125,0.922097849,0.849422439,0.651670855,0.516299201,0.413896921,0.331790535
126,0.972784433,0.944438999,0.849334047,0.767983347,0.693258774,0.618739661
127,0.829677162,0.693413943,0.375749885,0.197929304,0.119227706,0.085254233
128,0.968696611,0.937353767,0.836733927,0.751834063,0.671629714,0.59553929
129,0.953222614,0.910608427,0.772514883,0.662706321,0.57052293,0.483878001
130,0.926807489,0.858393506,0.644675041,0.489135626,0.394116478,0.323197856
131,0.974016066,0.946421168,0.854629842,0.777169399,0.707242429,0.634745781
133,0.968253245,0.93513751,0.833124361,0.747155483,0.668523334,0.593783895
134,0.972565546,0.94088699,0.828610761,0.733047623,0.644452048,0.554533997
135,0.973024392,0.942934324,0.830984225,0.732085828,0.645173093,0.558846315
136,0.969908302,0.938314142,0.829532202,0.731646047,0.647071006,0.573187854
137,0.973036815,0.944100275,0.843541969,0.743326541,0.654963457,0.554529836
138,0.904355099,0.810812831,0.546606894,0.386897946,0.28476115,0.220212209
139,0.962173924,0.926589433,0.810608897,0.716460408,0.635275821,0.560018596
140,0.936452432,0.862119008,0.63642459,0.488368572,0.392926492,0.330677718
141,0.973425456,0.944819848,0.848365686,0.763958218,0.685091467,0.599897379
142,0.891630448,0.773001098,0.455175252,0.280742706,0.197073008,0.153850235
143,0.970373432,0.939506786,0.838482105,0.751962619,0.672763794,0.592082739
144,0.973620308,0.94578095,0.853832905,0.775933334,0.705517496,0.635287942
145,0.970812224,0.940993557,0.844750966,0.762924329,0.687886062,0.615961647
146,0.967743668,0.934052026,0.820763466,0.726919418,0.64742944,0.5697564
147,0.9723899,0.941119901,0.83469196,0.743097835,0.662677148,0.58079911
148,0.968975419,0.934380549,0.815115367,0.710613889,0.608647612,0.509366461
149,0.973422095,0.945251835,0.849772506,0.767657422,0.690930254,0.614865086
150,0.970631976,0.940820666,0.842777277,0.760298066,0.686725475,0.61420119
151,0.813738757,0.694049684,0.434215883,0.293313377,0.213150191,0.156933297
152,0.973494031,0.945856086,0.854623572,0.777277827,0.708315369,0.636962966
153,0.954546989,0.909765226,0.765087076,0.647094174,0.554303745,0.467500774